q10201,q10301,q10401,category,label,qid,inputMethod,placeholder,options,condition,acquisition contract date,
분양권(2021년 이전 취득),분양권(2021년 이전 취득),매매,취득일 등,분양권 선택,q10501,dropdown,분양권을 선택해주세요.,"""['승계분양권',최초당첨 분양권,]""",,,
분양권(2021년 이전 취득),분양권(2021년 이전 취득),매매,취득일 등,분양권 잔금청산일,q10571,date,,,q10501=승계분양권,,
분양권(2021년 이전 취득),분양권(2021년 이전 취득),매매,취득일 등,분양권 당첨일,q10572,date,,,q10501=최초당첨 분양권,,
분양권(2021년 이전 취득),분양권(2021년 이전 취득),상속,취득일 등,분양권 선택,q10501,dropdown,분양권을 선택해주세요.,"""['승계분양권',최초당첨 분양권,]""",,,
분양권(2021년 이전 취득),분양권(2021년 이전 취득),상속,취득일 등,상속개시일,q10504,date,,,q10501=승계분양권,,
분양권(2021년 이전 취득),분양권(2021년 이전 취득),상속,취득일 등,분양권 잔금청산일,q10571,date,,,q10501=승계분양권&q10002-q10504<730,,
분양권(2021년 이전 취득),분양권(2021년 이전 취득),상속,취득일 등,상속개시일,q10504,date,,,q10501=최초당첨 분양권,,
분양권(2021년 이전 취득),분양권(2021년 이전 취득),상속,취득일 등,분양권 당첨일,q10572,date,,,q10501=최초당첨 분양권&q10002-q10504<730,,
분양권(2021년 이전 취득),분양권(2021년 이전 취득),자가 신축,취득일 등,,,,,,,,
분양권(2021년 이전 취득),분양권(2021년 이전 취득),증여,취득일 등,분양권 권리의무 승계일(명의변경일),q10511,date,,,,,
분양권(2021년 이전 취득),분양권(2022년 이후 취득),매매,취득일 등,,,,,,,,
분양권(2021년 이전 취득),분양권(2022년 이후 취득),상속,취득일 등,,,,,,,,
분양권(2021년 이전 취득),분양권(2022년 이후 취득),자가 신축,취득일 등,,,,,,,,
분양권(2021년 이전 취득),분양권(2022년 이후 취득),증여,취득일 등,,,,,,,,
분양권(2021년 이전 취득),재건축전 주택,매매,취득일 등,,,,,,,,
분양권(2021년 이전 취득),재건축전 주택,상속,취득일 등,,,,,,,,
분양권(2021년 이전 취득),재건축전 주택,자가 신축,취득일 등,,,,,,,,
분양권(2021년 이전 취득),재건축전 주택,증여,취득일 등,,,,,,,,
분양권(2021년 이전 취득),조합원 입주권,매매,취득일 등,,,,,,,,
분양권(2021년 이전 취득),조합원 입주권,상속,취득일 등,,,,,,,,
분양권(2021년 이전 취득),조합원 입주권,자가 신축,취득일 등,,,,,,,,
분양권(2021년 이전 취득),조합원 입주권,증여,취득일 등,,,,,,,,
분양권(2021년 이전 취득),주거용 오피스텔,매매,취득일 등,,,,,,,,
분양권(2021년 이전 취득),주거용 오피스텔,상속,취득일 등,,,,,,,,
분양권(2021년 이전 취득),주거용 오피스텔,자가 신축,취득일 등,,,,,,,,
분양권(2021년 이전 취득),주거용 오피스텔,증여,취득일 등,,,,,,,,
분양권(2021년 이전 취득),주택,매매,취득일 등,,,,,,,,
분양권(2021년 이전 취득),주택,상속,취득일 등,,,,,,,,
분양권(2021년 이전 취득),주택,자가 신축,취득일 등,,,,,,,,
